Plot,AGB_tC_ha,BGB_tC_ha,Saplings_tC_ha,Litter_tC_ha,Standing_Dead_tC_ha,Lying_Dead_tC_ha,Soil_tC_ha
254.5,254.5320666,59.81503566,2.626056561,0,2.329934694,22.06243349,33.6
179.6,179.616469,42.20987022,4.814437029,0,0,2.906672518,30.5
151.9,151.8752107,35.69067452,3.063732655,0,14.57968391,0.962286429,42.5
268,267.9987236,62.97970005,3.063732655,0,11.03322917,65.43114319,11.4
296.4,296.412145,69.65685408,3.939084842,0,2.90935975,31.61720059,35.3
189.3,189.304554,44.48657018,4.376760935,0,0,5.221329153,36.9
290.8,290.8318125,68.34547594,0,0,2.980877778,18.22091204,25.9
197.3,197.2651004,46.35729859,4.376760935,0,0,0,41.8
208,208.0148274,48.88348445,7.878169683,0,0,14.30130352,10.1
110.7,110.7071969,26.01619127,3.501408748,0,0,10.64837787,502.4
154.7,154.7085969,36.35652027,1.313028281,0,1.646258503,17.68787321,47.5
161.2,161.1694035,37.87480982,0,0,5.236098062,16.79360008,69.3
254,254.0068714,59.69161478,5.689789216,0,0,1.880159638,52.2
225,225.0246907,52.88080232,4.814437029,0,0,11.720674,116.4
285.8,285.7933113,67.16142816,2.188380468,0,6.979829486,10.34888164,140.4
258.7,258.742338,60.80444943,2.626056561,0,0,4.49529638,
130.5,130.5182343,30.67178507,2.626056561,0,1.494605732,9.144435218,
171.8,171.8257734,40.37905676,7.44049359,0,0,1.457308775,
269.8,269.7664315,63.3951114,0.875352187,0,0.312503173,10.81622283,
192.1,192.054807,45.13287965,6.565141403,0,0,3.342264424,
232.5,232.4680917,54.63000155,3.501408748,0,3.601126169,5.63943027,
124.4,124.3952806,29.23289093,9.191197964,0,0.716145833,19.65215581,
174.2,174.1737925,40.93084123,7.44049359,0,0.184861111,15.0256708,
161,161.0248473,37.84083911,5.689789216,0,0.8421875,29.03560509,
182.1,182.1293551,42.80039846,1.750704374,0,0.200520833,3.188730391,
143.4,143.4168488,33.70295946,4.376760935,0,0.33,5.482318505,
254,253.9529254,59.67893747,4.814437029,0,0,6.071348832,
169.1,169.0533722,39.72754247,5.689789216,0,0,4.144910002,
175.8,175.8382234,41.32198251,2.188380468,0,0.677824074,1.455951704,
162.4,162.3547073,38.15335621,3.939084842,0,0,0.663953579,
105.9,105.8760026,24.88086062,4.814437029,0,1.967592907,1.939962656,
188.3,188.3254299,44.25647602,3.939084842,0,0,33.85187642,
266.5,266.5293659,62.63440098,2.626056561,0,1.1,4.262435401,
234,233.9605606,54.98073175,3.939084842,0,0.103578241,11.70502019,
278.5,278.5093283,65.44969215,1.750704374,0,0,6.749128493,
218,217.9544872,51.21930448,4.814437029,0,0.322743056,8.94131074,
130,129.9669848,30.54224143,4.376760935,0,0.868934311,8.824397874,
249,249.0399371,58.52438521,8.75352187,0,0,9.581581586,
251.1,251.0529956,58.99745396,3.501408748,0,0,11.34800946,
187.2,187.1858609,43.98867731,3.063732655,0,0.336818981,9.78972229,
213.7,213.7489943,50.23101365,6.127465309,0,0,7.035671484,
95.8,95.7685245,22.50560326,3.501408748,0,0.590922619,11.0425452,
143,142.9896142,33.60255933,5.252113122,0,0,3.263754805,
141.7,141.6724713,33.29303075,4.376760935,0,0,24.07036688,
111.7,111.6757068,26.2437911,4.376760935,0,1.87,8.353321656,
141.4,141.4041936,33.22998548,3.939084842,0,3.29349915,7.041777685,
108.1,108.1185234,25.407853,4.814437029,0,7.467559524,4.255033197,
141.9,141.9404667,33.35600968,3.939084842,0,0.05302662,2.910823921,
285.3,285.2736056,67.03929732,4.376760935,0,0.718962259,15.50871699,
224.9,224.9492544,52.86307479,5.689789216,0,2.732273724,1.113646065,
332.9,332.8748243,78.2255837,3.939084842,0,2.433907681,12.47347931,
292.3,292.2603272,68.68117688,2.626056561,0,1.292595211,17.63243133,
229.7,229.6516357,53.96813439,8.315845777,0,0,17.76131541,
230.6,230.6097515,54.19329161,0.875352187,0,0,14.5846321,
264.2,264.1535563,62.07608572,3.501408748,0,0,10.66262711,
205.8,205.7544037,48.35228486,3.939084842,0,18.99177574,20.4055644,
177.1,177.0859808,41.61520549,7.002817496,0,0,7.34391095,
261,261.0253792,61.34096411,6.127465309,0,6.437127976,26.6506892,
289.4,289.3734858,68.00276916,6.127465309,0,9.789824617,15.35617917,
229.1,229.1311746,53.84582602,4.814437029,0,1.564658333,24.94083884,
283.7,283.6918814,66.66759212,1.750704374,0,0,5.275705122,
148.8,148.8362033,34.97650776,5.689789216,0,1.212813578,2.628121439,
223.9,223.9301628,52.62358826,3.501408748,0,3.614281987,6.06453202,
238.3,238.256385,55.99025047,5.252113122,0,1.818995854,9.731839528,
166.4,166.4015608,39.10436679,6.127465309,0,0,23.30372993,
180.8,180.7504078,42.47634584,5.689789216,0,0,7.797474789,
234.1,234.0681232,55.00600896,7.44049359,0,0,5.680297217,
186.2,186.202626,43.75761712,4.376760935,0,0,11.62123218,
283.8,283.7816447,66.6886865,6.565141403,0,0,8.117172865,
92.7,92.68452549,21.78086349,7.878169683,0,0,1.277035516,
112.7,112.70362,26.4853507,7.44049359,0,2.0625,1.593337214,
123.9,123.8606895,29.10726204,5.689789216,0,0,9.66655703,
224.9,224.8562967,52.84122973,2.188380468,0,0.710299745,6.454544859,
173.2,173.242552,40.71199971,1.750704374,0,1.135965136,3.618141457,
129.1,129.1371307,30.34722572,3.501408748,0,9.072771585,18.57512968,
98.8,98.80844571,23.21998474,9.191197964,0,0,0.137427456,
229.2,229.1614874,53.85294954,1.313028281,0,3.564720706,3.305268829,
128.4,128.3529136,30.16293469,12.25493062,0,5.471237245,16.89460808,
147.8,147.8096536,34.73526859,5.252113122,0,10.69424957,15.50425717,
255.1,255.1411721,59.95817544,4.376760935,0,0,8.766690297,
206.3,206.2549387,48.46991059,0.875352187,0,0,24.77509734,
53.4,53.36117206,10.93904027,1.313028281,0,0,2.40523493,
171.4,171.3519707,40.26771311,8.315845777,0,4.101713419,5.829111729,
194.3,194.3422402,45.67042644,1.313028281,0,7.811467602,4.262928881,
336.7,336.7303744,79.13163798,2.626056561,0,0,19.29902445,
375.8,375.7655658,88.30490796,3.939084842,0,0,44.01762139,
235.5,235.4670621,55.3347596,7.002817496,0,1.307927691,48.51049046,
319.9,319.9201067,75.18122508,0.437676094,0,0,2.833733057,
227.5,227.5381271,53.47145986,0,0,0,6.921195793,
217.5,217.539245,51.12172257,2.626056561,0,4.217621015,8.882027111,
150.1,150.113482,35.27666827,3.501408748,0,6.068941362,20.05240219,
107.7,107.6741781,25.30343184,4.814437029,0,2.676666667,2.307020029,
159.1,159.0755895,37.38276352,7.002817496,0,3.553563368,10.25472315,
198.7,198.6833409,46.69058511,4.376760935,0,0.81449263,0.453061106,
86.4,86.39677189,20.30324139,7.002817496,0,0,0,
94.8,94.81771207,22.28216234,6.565141403,0,0.789084491,0.793081931,
74.5,74.46509739,17.49929789,3.063732655,0,2.813757688,12.10079811,
202.6,202.6054426,47.61227902,1.750704374,0,1.752072704,28.66836327,
95.8,95.84356864,22.52323863,3.939084842,0,0,5.438445029,
134.1,134.1125991,31.51646078,4.814437029,0,1.579648343,8.43110956,
209.1,209.0542776,49.12775523,2.188380468,0,4.841145833,11.33325131,
175.1,175.0602551,41.13915996,0,0,0.155960648,4.086509702,
105.2,105.2451918,24.73262008,0.437676094,0,0.229166667,4.788886268,
88.4,88.38898893,20.7714124,0.875352187,0,0,6.535590349,
202.5,202.4504725,47.57586103,4.376760935,2.302369505,0,8.493272029,
210.7,210.6971777,49.51383676,2.626056561,0,4.500757334,12.47521081,
163.2,163.2207235,38.35687003,0,0,6.681234921,18.6486607,
204.5,204.5141234,48.06081901,6.127465309,0,2.84119898,4.44589901,
145.8,145.7633918,34.25439707,1.313028281,4.690186709,1.683738426,21.93268273,
217.1,217.106347,51.01999154,3.939084842,0,6.754050926,5.075806154,
192.1,192.1490124,45.15501792,3.063732655,0,0,2.328868865,
230.7,230.6987795,54.21421319,5.252113122,0,1.870748299,5.669433867,
162.6,162.5634896,38.20242007,5.252113122,4.230479885,0,12.22277655,
143.4,143.3749272,33.69310789,3.063732655,0,0.170958333,6.958583088,
161.9,161.9406136,38.05604419,3.939084842,0,0.073409722,18.4136833,
161.1,161.1230671,37.86392076,3.063732655,0,0.2541093,8.665540422,
244.4,244.433549,57.44188401,2.188380468,2.745663393,1.68835034,6.627956893,
254.1,254.118027,59.71773635,5.689789216,0,0,7.411254962,
197,197.0314231,46.30238443,4.814437029,0,0,23.05529595,
223.6,223.5809033,52.54151226,3.939084842,0,5.66629887,1.521843651,
113,113.0002307,26.55505421,1.750704374,2.252546218,2.764717593,0.007461421,
334.7,334.679049,78.64957652,2.626056561,0,0.977777778,3.053408862,
102.4,102.4385774,24.07306568,5.689789216,0,13.12902849,0.944336086,
170.6,170.6025292,40.09159436,1.750704374,0,0,1.09922719,
201.1,201.1420569,47.26838337,5.252113122,2.902493182,0,0.943136929,
195.4,195.4324657,45.92662943,3.501408748,0,0,8.485014255,
223.3,223.2821471,52.47130456,4.376760935,0,0,13.48766258,
135,134.9668796,31.71721672,2.626056561,0,0.25462963,0.205655414,
168.9,168.8765685,39.6859936,1.313028281,1.635372934,0,0,
263.4,263.4134814,61.90216813,2.626056561,0,0,1.546899492,
192.4,192.4488127,45.22547098,1.313028281,0,3.22265625,0.823356326,
283.2,283.202298,66.55254004,0.437676094,0,0,3.148681387,
326.9,326.9412962,76.83120461,3.063732655,3.882806452,0,7.156067087,
262.4,262.3818665,61.65973863,1.750704374,0,10.29372615,2.896698666,
234.2,234.2378353,55.04589129,1.750704374,0,13.68393723,0,
124.8,124.8301871,29.33509397,2.626056561,0,0,11.3343894,
148.8,148.7988266,34.96772426,5.252113122,2.769215074,0,33.72624993,
269.6,269.6486708,63.36743765,0.437676094,0,3.551498724,4.652750497,
171.8,171.7504265,40.36135023,3.063732655,0,34.40750644,2.311893146,
254.5,254.4581354,59.79766183,2.626056561,0,11.45833333,36.78685311,
117,117.0230973,27.50042786,1.313028281,1.937451923,0,11.75526696,
149.4,149.4269522,35.11533376,2.188380468,0,0,25.14868963,
175.3,175.3140217,41.19879509,2.188380468,0,2.104591837,1.503572545,
122.2,122.2178001,28.72118303,2.188380468,0,13.15369898,6.52528895,
198.3,198.2771798,46.59513726,3.939084842,1.700827344,1.312154549,20.25477226,
69,69.02906064,16.22182925,4.814437029,0,1.303703704,0,
120.4,120.4277641,28.30052456,3.063732655,0,0.792,18.20252373,
